year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,owner_category,price_category,Cluster
2017,650000,1.3024120370528666e+20,1,Individual,1.7419696747025504,First Owner,19525.9998278095,883043671730.7094,35985892.39644412,1,2,4
2019,330000,8.039970605230624e+19,3,Individual,1.7419696747025504,Second Owner,25637.210860090527,563972226946.5116,16984192.378214024,2,1,4
2019,366000,1.2059446222406463e+20,2,Individual,1.7419696747025504,First Owner,19291.981899877515,706566102712.9009,27549452.96926312,1,1,4
2019,1149000,4.020494988054784e+19,2,Individual,1.7419696747025504,First Owner,14645.054473799486,1125170896423.1426,48916509.83623555,1,3,2
2016,150000,3.3764614555156e+20,2,Individual,1.7419696747025504,First Owner,17072.15469777981,847748157927.1477,27510030.355117418,1,1,6
2011,425000,4.823472677698902e+20,1,Individual,1.7419696747025504,Second Owner,12592.382934510348,1540246138753.0283,55511913.1828121,2,1,7
2012,150000,6.109704875195172e+20,2,Individual,1.7419696747025504,First Owner,14043.294087688666,563972226946.5116,15683246.111405745,1,1,0
2019,2100000,4.020494988054784e+19,2,Individual,1.8193827268431275,First Owner,13976.43182256524,967752904859.2576,64476615.63954555,1,3,5
2018,925000,2.3233588438155297e+20,2,Dealer,1.7419696747025504,First Owner,15179.952594786888,1058815330472.4467,47339605.270407334,1,2,2
2013,425000,6.937716852333394e+20,2,Dealer,1.7419696747025504,First Owner,14511.329943552642,1058815330472.4467,46945379.128950275,1,1,2
2018,675000,1.8731775746918354e+20,2,Dealer,1.8193827268431275,First Owner,15647.988450650862,847042247651.0764,33872840.278234296,1,2,8
2018,819999,2.620800039486542e+20,1,Dealer,1.7419696747025504,First Owner,19525.9998278095,883043671730.7094,35985892.39644412,1,2,4
2018,390000,8.281139142261173e+19,2,Dealer,1.7419696747025504,First Owner,19291.981899877515,706566102712.9009,27529741.66219027,1,1,4
2014,1500000,6.190094387538687e+20,1,Dealer,1.7419696747025504,First Owner,11669.683675807086,2107092090438.2295,67523983.7130086,1,3,3
2013,700000,7.958663659096058e+20,1,Dealer,1.7419696747025504,First Owner,11963.877642350155,1762607875715.4673,40519493.023200266,1,2,3
2014,1450000,2.234930380237661e+20,1,Dealer,1.8193827268431275,Second Owner,13174.084641084146,1514833368814.464,48679974.151361324,2,3,1
2015,425000,4.003499651795031e+20,1,Dealer,1.7419696747025504,First Owner,19793.4488883032,1059521240748.518,39979403.209404096,1,1,9
2013,1090000,1.2138918300958932e+21,1,Dealer,1.7419696747025504,First Owner,12304.875194479619,1750607401022.256,70307220.2716954,1,3,7
2015,600000,4.397408262278263e+20,1,Dealer,1.7419696747025504,First Owner,20662.658334907723,1059521240748.518,39967576.425160386,1,2,9
2018,850000,5.1450307270729695e+20,2,Dealer,1.7419696747025504,First Owner,17085.527150804493,1034108470809.9535,41800727.9829357,1,2,9
2015,525000,5.064641214729452e+20,1,Dealer,1.7419696747025504,First Owner,21531.867781512243,1059521240748.518,39967576.425160386,1,2,9
2016,1650000,1.0265842663354989e+21,1,Dealer,1.8193827268431275,Second Owner,10874.02272083833,1946850457770.0593,68706662.13737977,2,3,1
2016,950000,7.958663659096058e+20,1,Dealer,1.7419696747025504,First Owner,11963.877642350155,1762607875715.4673,40756028.708074495,1,2,3
2013,1750000,2.7253064055331137e+20,1,Dealer,1.8193827268431275,Second Owner,15099.717876638775,1391299070501.998,69822322.11770323,2,3,1
2018,1590000,2.0098397456758142e+20,2,Dealer,1.8193827268431275,First Owner,12826.400862442333,1271294323569.8882,55511913.1828121,1,3,5
2013,1689999,4.0195775542637344e+20,1,Dealer,1.8193827268431275,First Owner,15668.047130187888,1391299070501.998,75108894.67464235,1,3,1
2013,1425000,4.743083165355385e+20,1,Dealer,1.8193827268431275,First Owner,13200.829547133515,1514833368814.464,68115322.92519417,1,3,1
2011,265000,9.64684341830991e+20,1,Individual,1.7419696747025504,First Owner,17399.77979688459,883043671730.7094,36104160.23888123,1,1,6
2011,190000,8.842948294874742e+20,2,Individual,1.7419696747025504,Third Owner,16891.62658194656,847042247651.0764,32201321.438456386,2,1,6
2013,425000,4.823472677698902e+20,1,Individual,1.7419696747025504,First Owner,17500.07319456973,987518392589.252,36088391.193222955,1,1,9
2015,630000,1.1817360251584863e+21,1,Individual,1.7419696747025504,Second Owner,21057.14569913593,883043671730.7094,30269613.345316812,2,2,4
2017,600000,2.0098397456758142e+20,2,Individual,1.7419696747025504,Third Owner,15420.656749231219,846336337375.0051,35315707.95596712,2,2,6
2019,650000,2.411787307393398e+20,2,Individual,1.7419696747025504,First Owner,17586.99413923018,847042247651.0764,33857071.23257602,1,2,6
2016,540000,3.215682430828566e+20,1,Individual,1.7419696747025504,First Owner,17988.16772997073,1059521240748.518,43868444.09487796,1,2,9
2015,630000,1.0852686103462663e+21,1,Individual,1.7419696747025504,First Owner,20060.8979487969,1059521240748.518,39967576.425160386,1,2,9
2018,448000,2.411787307393398e+20,2,Individual,1.8193827268431275,First Owner,16991.919979631704,706566102712.9009,27510030.355117418,1,1,8
2017,500000,6.431262924569239e+20,1,Individual,1.7419696747025504,First Owner,17760.836028551086,1059521240748.518,43917722.36256009,1,1,9
2016,745000,5.6273678011340705e+20,1,Individual,1.7419696747025504,First Owner,19525.9998278095,883043671730.7094,35985892.39644412,1,2,4
2019,1025000,7.919386336715348e+19,1,Individual,1.8193827268431275,First Owner,19525.9998278095,883043671730.7094,35985892.39644412,1,3,8
2011,235000,4.823472677698902e+20,2,Individual,1.7419696747025504,Second Owner,16891.62658194656,847042247651.0764,32201321.438456386,2,1,6
2016,630000,5.6273678011340705e+20,1,Individual,1.7419696747025504,First Owner,20127.760213920323,883043671730.7094,30269613.345316812,1,2,4
2015,1700000,6.270483899882204e+20,1,Individual,1.7419696747025504,Second Owner,11669.683675807086,2107092090438.2295,67523983.7130086,2,3,3
2013,450000,9.64684341830991e+20,1,Individual,1.7419696747025504,Second Owner,18589.92811608155,883043671730.7094,30269613.345316812,2,1,4
2012,450000,9.64684341830991e+20,2,Individual,1.7419696747025504,Second Owner,13989.804275589926,971282456239.6136,38035868.33202081,2,1,2
2003,50000,5.6273678011340705e+20,1,Individual,1.7419696747025504,First Owner,15915.437511144559,883043671730.7094,30269613.345316812,1,1,6
2013,450000,1.366631903548575e+21,1,Individual,1.7419696747025504,First Owner,17011.97865916873,1130112268355.6414,41938707.13244566,1,1,9
2016,1200000,1.1254633665180247e+21,1,Individual,1.7419696747025504,First Owner,11963.877642350155,1762607875715.4673,40756028.708074495,1,3,3
2015,610000,7.235158048004406e+20,1,Individual,1.7419696747025504,First Owner,18503.0071714211,1059521240748.518,39963634.16374581,1,2,9
2016,2500000,2.411787307393398e+20,2,Individual,1.8193827268431275,Second Owner,13782.53125370731,1412476378784.135,75605619.61287823,2,3,1
2017,484999,8.039970605230624e+19,2,Dealer,1.7419696747025504,First Owner,18723.652646328406,706566102712.9009,27525799.4007757,1,1,0
2016,275000,3.939188041920218e+20,2,Dealer,1.7419696747025504,First Owner,15995.67222929267,847748157927.1477,27529741.66219027,1,1,6
2016,315000,2.5725663320804318e+20,2,Dealer,1.7419696747025504,First Owner,19793.4488883032,563972226946.5116,19743775.36841342,1,1,0
2016,275000,3.054903406141533e+20,2,Dealer,1.7419696747025504,First Owner,19793.4488883032,563972226946.5116,19743775.36841342,1,1,0
2015,475000,6.270483899882204e+20,1,Dealer,1.7419696747025504,First Owner,15915.437511144559,883043671730.7094,30269613.345316812,1,1,6
2012,290000,2.2510082827063643e+20,2,Dealer,1.7419696747025504,First Owner,16523.884123767726,768686207007.1694,27923967.803647324,1,1,6
2017,280000,2.5725663320804318e+20,2,Dealer,1.7419696747025504,First Owner,12639.186520096744,563972226946.5116,14894793.828491632,1,1,0
2010,225000,3.5372404802026334e+20,4,Dealer,1.7419696747025504,First Owner,20796.382865154574,706566102712.9009,24040840.310295332,1,1,4
2015,455000,3.3764614555156e+20,2,Dealer,1.7419696747025504,First Owner,14290.684468645335,847748157927.1477,30269613.345316812,1,1,6
2015,351000,3.61762999254615e+20,2,Dealer,1.7419696747025504,Second Owner,16523.884123767726,768686207007.1694,27923967.803647324,2,1,6
2012,535000,9.64776085210096e+19,2,Dealer,1.7419696747025504,Second Owner,13334.554077380362,1130112268355.6414,41938707.13244566,2,2,2
2009,175000,4.4617198721530764e+20,2,Dealer,1.7419696747025504,First Owner,15447.401655280588,706566102712.9009,27549452.96926312,1,1,6
2013,525000,4.9440569462141773e+20,2,Dealer,1.7419696747025504,First Owner,15647.988450650862,847042247651.0764,33758514.69721176,1,2,6
2016,600000,1.2058528788615416e+21,1,Individual,1.7419696747025504,First Owner,21057.14569913593,883043671730.7094,30269613.345316812,1,2,4
2016,565000,5.788146825821104e+20,2,Dealer,1.8193827268431275,First Owner,16049.162041391413,847042247651.0764,33423422.476973258,1,2,8
2008,120000,5.4665887764470366e+20,2,Dealer,1.7419696747025504,Third Owner,16450.33563213196,563972226946.5116,19349549.226956364,2,1,0
2017,725000,8.842948294874742e+20,1,Individual,1.7419696747025504,First Owner,18349.223961637224,987518392589.252,36076564.408979245,1,2,9
2009,185000,6.190094387538687e+20,2,Dealer,1.7419696747025504,Second Owner,17847.756973211537,706566102712.9009,27529741.66219027,2,1,0
2010,200000,8.039053171439575e+20,1,Individual,1.7419696747025504,Second Owner,15848.575246021139,883043671730.7094,36577231.6086297,2,1,6
2019,615000,8.039970605230624e+19,2,Individual,1.7419696747025504,First Owner,17459.95583549567,847042247651.0764,33344577.248681847,1,2,6
2016,270000,8.039053171439575e+20,2,Individual,1.7419696747025504,Third Owner,13555.199552287664,846336337375.0051,29875387.203859758,2,1,6
2018,610000,2.8137348691109822e+20,2,Individual,1.7419696747025504,First Owner,17586.99413923018,847042247651.0764,33857071.23257602,1,2,6
2014,625000,5.6273678011340705e+20,1,Individual,1.8193827268431275,Second Owner,11161.530460869055,1540246138753.0283,48404015.85234138,2,2,1
2020,400000,4.020494988054784e+19,2,Individual,1.7419696747025504,Second Owner,15982.299776267982,844924516822.8627,38422209.950648725,2,1,6
2017,866000,3.038825503672829e+20,2,Individual,1.7419696747025504,First Owner,14645.054473799486,1125170896423.1426,48916509.83623555,1,2,2
2010,700000,9.16450634424881e+20,2,Individual,1.7419696747025504,First Owner,12839.77331546702,1271294323569.8882,64173061.51062361,1,2,7
2010,300000,3.8587985295767005e+20,2,Individual,1.7419696747025504,First Owner,13842.707292318391,829394490749.2955,26721578.07220331,1,1,6
2019,1700000,2.5725663320804318e+20,1,Individual,1.7419696747025504,First Owner,13374.671436454419,1540246138753.0283,62201930.80333834,1,3,7
2016,375000,8.039053171439575e+20,1,Individual,1.7419696747025504,First Owner,16042.47581487907,993871585073.8932,28302424.8994461,1,1,6
2013,522000,1.2058528788615416e+21,1,Individual,1.7419696747025504,Second Owner,18202.126978365686,1118817703938.5015,50895525.066349976,2,2,9
2013,451999,5.546978288790553e+20,1,Individual,1.7419696747025504,First Owner,17921.305464847304,987518392589.252,36088391.193222955,1,1,9
2009,300000,8.039053171439575e+20,2,Individual,1.7419696747025504,Second Owner,12993.556525250895,1271294323569.8882,55539509.01271409,2,1,7
2020,475000,1.0451655975536127e+20,2,Individual,1.7419696747025504,First Owner,17740.777349014057,706566102712.9009,27525799.4007757,1,1,0
2016,780000,4.823472677698902e+20,1,Individual,1.7419696747025504,First Owner,19525.9998278095,883043671730.7094,35985892.39644412,1,2,4
2017,595000,3.215682430828566e+20,2,Individual,1.7419696747025504,First Owner,17219.251681051348,847042247651.0764,33872840.278234296,1,2,6
2017,440000,2.8137348691109822e+20,2,Individual,1.7419696747025504,First Owner,16991.919979631704,706566102712.9009,27525799.4007757,1,1,0
2010,300000,9.64684341830991e+20,1,Individual,1.7419696747025504,Second Owner,15915.437511144559,883043671730.7094,30269613.345316812,2,1,6
2014,400000,5.6273678011340705e+20,1,Individual,1.7419696747025504,Third Owner,16951.802620557646,1033402560533.8823,34133029.53159596,2,1,9
2016,1140000,4.0195775542637344e+20,1,Individual,1.7419696747025504,First Owner,16430.276952594933,1118817703938.5015,50848217.929375134,1,3,2
2017,850000,6.120879017410919e+20,1,Individual,1.7419696747025504,First Owner,18656.790381204977,1059521240748.518,40109497.836084925,1,2,9
2012,370000,1.4068266597203336e+21,1,Individual,1.7419696747025504,Fourth & Above Owner,16182.886571638259,883043671730.7094,30230190.73117111,3,1,6
2018,350000,2.0098397456758142e+20,2,Individual,1.7419696747025504,First Owner,18663.47660771732,707272012988.972,27510030.355117418,1,1,0
2015,360000,3.215682430828566e+20,2,Individual,1.7419696747025504,Second Owner,18723.652646328406,706566102712.9009,27525799.4007757,2,1,0
2008,105000,5.225420239416486e+20,2,Individual,1.7419696747025504,Fourth & Above Owner,16450.33563213196,563972226946.5116,19349549.226956364,3,1,0
2013,625000,7.235158048004406e+20,1,Individual,1.7419696747025504,Second Owner,17165.761868952603,883043671730.7094,36088391.193222955,2,2,6
2009,135000,6.431262924569239e+20,2,Individual,1.7419696747025504,Second Owner,15260.187312934999,768686207007.1694,25578322.261977848,2,1,6
2015,700000,8.842948294874742e+20,1,Individual,1.7419696747025504,Second Owner,17165.761868952603,883043671730.7094,36088391.193222955,2,2,6
2019,690000,1.0484947167149668e+19,2,Dealer,1.7419696747025504,First Owner,15179.952594786888,847748157927.1477,35276285.34182142,1,2,6
2018,3975000,2.5564884296117286e+20,1,Dealer,1.8193827268431275,First Owner,14651.74070031183,1391299070501.998,75211393.47142118,1,3,1
2019,5150000,1.60789218395823e+20,2,Dealer,1.8193827268431275,First Owner,18235.5581109274,1757666503782.9685,85682039.78852059,1,3,1
2017,3200000,3.61762999254615e+20,1,Dealer,1.8193827268431275,First Owner,16202.945251175284,1413182289060.2063,70874905.91539356,1,3,1
2017,4100000,1.36672364692768e+20,2,Individual,1.8193827268431275,First Owner,9630.384589542628,2546168282154.537,111480198.48547032,1,3,1
2019,4500000,1.688281696301747e+20,1,Dealer,1.8193827268431275,First Owner,11856.898018152675,1413182289060.2063,59564557.91699063,1,3,1
2017,6000000,2.974513893798016e+20,1,Dealer,1.8193827268431275,First Owner,12304.875194479619,2110621641818.586,101541757.45933795,1,3,1
2018,3790000,2.37159255122164e+20,1,Dealer,1.8193827268431275,First Owner,18309.10660256317,1410358647955.9214,75108894.67464235,1,3,1
2017,2150000,2.1706187703628477e+20,1,Dealer,1.8193827268431275,First Owner,15915.437511144559,883043671730.7094,30269613.345316812,1,3,8
2019,5800000,6.030232796642703e+19,1,Dealer,1.8193827268431275,First Owner,14497.957490527955,1410358647955.9214,75999845.7543353,1,3,1
2018,1864999,4.0195775542637344e+20,2,Dealer,1.8193827268431275,First Owner,13087.16369642369,1271294323569.8882,71056249.94046383,1,3,5
2016,2700000,2.8137348691109822e+20,1,Dealer,1.8193827268431275,First Owner,13307.809171330993,1514833368814.464,81519011.73473407,1,3,1
2019,1750000,1.5275026716147135e+20,2,Dealer,1.8193827268431275,First Owner,12612.441614047375,1026343457773.1698,56682764.82293955,1,3,5
2017,795000,3.296071943172083e+20,2,Dealer,1.8193827268431275,First Owner,15313.677125033737,1058815330472.4467,47457873.112844445,1,2,5
2013,625000,3.135292918485049e+20,2,Dealer,1.8193827268431275,First Owner,12826.400862442333,1271294323569.8882,55511913.1828121,1,2,5
2018,3400000,1.7686712086452637e+20,1,Dealer,1.8193827268431275,First Owner,15313.677125033737,1392004980778.0693,75999845.7543353,1,3,1
2015,2650000,4.260746091294285e+20,1,Dealer,1.8193827268431275,First Owner,11348.744803214648,2096503436297.1611,96263069.42522797,1,3,1
2015,535000,3.215682430828566e+20,1,Dealer,1.7419696747025504,First Owner,20803.069091666915,883043671730.7094,35985892.39644412,1,2,4
2017,5850000,3.778409017233183e+20,1,Dealer,1.8193827268431275,First Owner,12304.875194479619,2110621641818.586,112268650.76838444,1,3,1
2010,975000,5.804224728289807e+20,2,Dealer,1.8193827268431275,Second Owner,10499.594036147151,1764725606543.6812,60230800.096053064,2,2,1
2016,805000,4.0115386030293824e+20,2,Dealer,1.7419696747025504,First Owner,14177.018617935517,1270588413293.817,59245234.74241042,1,2,7
2017,2625000,7.236075481795455e+19,1,Dealer,1.8193827268431275,First Owner,12371.737459603044,1413182289060.2063,70874905.91539356,1,3,1
2018,811000,8.843865728665792e+19,2,Dealer,1.7419696747025504,First Owner,14645.054473799486,847748157927.1477,43870415.22558524,1,2,6
2011,375000,3.939188041920218e+20,2,Individual,1.7419696747025504,First Owner,13334.554077380362,1130112268355.6414,41938707.13244566,1,1,2
2012,550000,7.63710560972199e+20,2,Individual,1.7419696747025504,First Owner,14177.018617935517,1270588413293.817,59245234.74241042,1,2,7
2016,645000,8.843865728665792e+19,2,Dealer,1.8193827268431275,First Owner,12839.77331546702,1130112268355.6414,41899284.51829996,1,2,5
2018,2550000,1.4471131592711968e+20,2,Dealer,1.8193827268431275,First Owner,13334.554077380362,1407535006851.6365,73240262.76413591,1,3,1
2014,599000,3.7060584561240185e+20,2,Dealer,1.7419696747025504,First Owner,13989.804275589926,971282456239.6136,38035868.33202081,1,2,2
2017,2700000,1.2863341345841632e+20,2,Dealer,1.8193827268431275,First Owner,13133.96728201009,1407535006851.6365,72467579.52688007,1,3,1
2017,875000,1.4471131592711968e+20,2,Dealer,1.8193827268431275,First Owner,13708.98276207154,1058815330472.4467,46945379.128950275,1,2,5
2019,894999,7.761822892522055e+19,2,Dealer,1.8193827268431275,First Owner,16356.728460959164,847042247651.0764,33344577.248681847,1,2,8
2011,175000,8.843865728665792e+19,2,Dealer,1.7419696747025504,First Owner,19291.981899877515,706566102712.9009,27529741.66219027,1,1,4
2012,340000,1.9535670870353524e+20,2,Dealer,1.7419696747025504,First Owner,17459.95583549567,847042247651.0764,33344577.248681847,1,1,6
2016,1525000,3.389564946027593e+20,1,Dealer,1.8193827268431275,Second Owner,10874.02272083833,1946850457770.0593,68706662.13737977,2,3,1
2018,1025000,6.432180358360288e+19,1,Dealer,1.8193827268431275,First Owner,17653.856404353606,1058815330472.4467,43870415.22558524,1,3,5
2016,2150000,2.411787307393398e+20,1,Dealer,1.8193827268431275,First Owner,18449.517359322363,1410358647955.9214,75999845.7543353,1,3,1
2016,1900000,3.296071943172083e+20,2,Dealer,1.8193827268431275,First Owner,16089.279400465464,1762607875715.4673,63266341.38527238,1,3,1
2016,2900000,9.64776085210096e+19,1,Dealer,1.8193827268431275,First Owner,15393.91184318185,1410358647955.9214,75999845.7543353,1,3,1
2009,450000,5.7077573134775865e+20,2,Dealer,1.8193827268431275,First Owner,11368.803482751673,1669427719274.0642,66025924.37547178,1,1,1
2016,850000,1.60789218395823e+20,2,Individual,1.7419696747025504,First Owner,14979.365799416611,971282456239.6136,37010880.364232466,1,2,2
2017,10000000,2.411787307393398e+20,2,Individual,1.8193827268431275,First Owner,31360.620754655687,1392004980778.0693,158787335.46031705,1,3,1
2011,300000,8.039053171439575e+20,1,Individual,1.7419696747025504,Second Owner,17011.97865916873,1130112268355.6414,41938707.13244566,2,1,9
2018,575000,7.63802304351304e+19,2,Individual,1.7419696747025504,First Owner,15420.656749231219,846336337375.0051,35315707.95596712,1,2,6
2011,160000,9.64684341830991e+20,1,Individual,1.7419696747025504,First Owner,16650.922427502235,989636123417.4658,27904256.496574473,1,1,6
2015,515000,2.942358088860609e+20,2,Individual,1.7419696747025504,First Owner,16918.371487995933,847042247651.0764,33344577.248681847,1,2,6
2015,390000,4.0195775542637344e+20,2,Individual,1.8193827268431275,Second Owner,16991.919979631704,706566102712.9009,27510030.355117418,2,1,8
2016,550000,1.1255551098971295e+20,2,Individual,1.7419696747025504,Second Owner,15714.850715774288,847042247651.0764,33356404.032925557,2,2,6
1999,40000,3.215682430828566e+20,2,Individual,1.7419696747025504,Second Owner,14043.294087688666,563972226946.5116,15683246.111405745,2,1,0
2010,220000,9.64684341830991e+20,1,Individual,1.7419696747025504,First Owner,17386.407343859908,883043671730.7094,30230190.73117111,1,1,6
2015,425000,5.6273678011340705e+20,2,Individual,1.7419696747025504,First Owner,15915.437511144559,847042247651.0764,33423422.476973258,1,1,6
2019,480000,1.0451655975536127e+20,2,Individual,1.7419696747025504,First Owner,16276.493742811057,707272012988.972,30663839.486773867,1,1,6
2014,400000,4.823472677698902e+20,2,Individual,1.7419696747025504,Second Owner,15915.437511144559,847042247651.0764,33423422.476973258,2,1,6
2014,487000,2.8137348691109822e+20,2,Individual,1.7419696747025504,First Owner,16049.162041391413,847042247651.0764,34921481.81451007,1,1,6
2016,386000,3.5372404802026334e+20,2,Individual,1.7419696747025504,Second Owner,16049.162041391413,847042247651.0764,33423422.476973258,2,1,6
2005,100000,9.64684341830991e+20,2,Individual,1.7419696747025504,Second Owner,11970.563868862497,1055991689368.1617,40519493.023200266,2,1,2
2010,300000,4.823472677698902e+20,1,Individual,1.7419696747025504,First Owner,17607.05281876721,964929263754.9725,35473398.41254995,1,1,9
2000,100000,4.823472677698902e+20,2,Individual,1.7419696747025504,First Owner,15647.988450650862,563972226946.5116,21990864.374718636,1,1,0
2014,1750000,2.411787307393398e+20,1,Individual,1.7419696747025504,Second Owner,11970.563868862497,2107092090438.2295,67523983.7130086,2,3,3
2016,450000,1.2059446222406463e+20,2,Individual,1.7419696747025504,Second Owner,15413.970522718875,847748157927.1477,33423422.476973258,2,1,6
2017,490000,7.235158048004406e+20,1,Individual,1.7419696747025504,First Owner,18623.359248643264,883043671730.7094,30269613.345316812,1,1,4
2009,345000,3.778409017233183e+20,2,Individual,1.7419696747025504,Second Owner,14645.054473799486,1058815330472.4467,47615563.569427274,2,1,2
2005,85000,7.235158048004406e+20,2,Individual,1.7419696747025504,First Owner,14845.641269169762,703036551332.5447,24750447.36491803,1,1,6
2010,215000,9.69507712571602e+20,2,Individual,1.7419696747025504,Second Owner,15915.437511144559,706566102712.9009,27549452.96926312,2,1,6
2010,320000,8.039053171439575e+20,2,Individual,1.7419696747025504,Third Owner,14110.156352812091,1130818178631.7126,41781016.67586284,2,1,2
2016,459999,4.823472677698902e+20,2,Individual,1.7419696747025504,Second Owner,17219.251681051348,847042247651.0764,33872840.278234296,2,1,6
2005,65000,6.913599998630338e+20,2,Individual,1.7419696747025504,First Owner,13508.395966701268,948693327405.3341,33817648.61843032,1,1,2
2020,720000,4.020494988054784e+19,2,Individual,1.7419696747025504,First Owner,15714.850715774288,847042247651.0764,33368230.817169268,1,2,6
2017,800000,2.974513893798016e+20,1,Individual,1.7419696747025504,First Owner,22060.079675987297,883043671730.7094,35985892.39644412,1,2,4
2019,520000,1.1255551098971295e+20,2,Individual,1.7419696747025504,First Owner,16851.509222872508,848454068203.2189,34211874.75988737,1,2,6
2015,580000,5.6273678011340705e+20,1,Individual,1.7419696747025504,First Owner,17165.761868952603,883043671730.7094,36088391.193222955,1,2,6
2012,235000,9.64684341830991e+20,1,Individual,1.7419696747025504,First Owner,15915.437511144559,883043671730.7094,30269613.345316812,1,1,6
2015,600000,4.0195775542637344e+20,2,Individual,1.7419696747025504,First Owner,14912.503534293188,1058815330472.4467,47339605.270407334,1,2,2
